gene_id,total_counts,n_cells_by_counts,is_mitochondrial
MIR1302-10,0.0,0,False
FAM138A,0.0,0,False
OR4F5,0.0,0,False
RP11-34P13.7,0.0,0,False
RP11-34P13.8,0.0,0,False
AL627309.1,9.0,9,False
RP11-34P13.14,0.0,0,False
RP11-34P13.9,0.0,0,False
AP006222.2,3.0,3,False
RP4-669L17.10,0.0,0,False
OR4F29,0.0,0,False
RP4-669L17.2,0.0,0,False
RP5-857K21.15,0.0,0,False
RP5-857K21.1,0.0,0,False
RP5-857K21.2,0.0,0,False
RP5-857K21.3,0.0,0,False
RP5-857K21.4,0.0,0,False
RP5-857K21.5,0.0,0,False
OR4F16,0.0,0,False
RP11-206L10.3,0.0,0,False
RP11-206L10.5,0.0,0,False
RP11-206L10.4,0.0,0,False
RP11-206L10.2,5.0,5,False
RP11-206L10.9,3.0,3,False
AL669831.1,0.0,0,False
FAM87B,2.0,2,False
LINC00115,18.0,18,False
FAM41C,2.0,2,False
AL645608.2,0.0,0,False
RP11-54O7.16,0.0,0,False
RP11-54O7.1,0.0,0,False
RP11-54O7.2,0.0,0,False
RP11-54O7.3,0.0,0,False
SAMD11,1.0,1,False
AL645608.1,0.0,0,False
NOC2L,288.0,258,False
KLHL17,9.0,9,False
PLEKHN1,7.0,7,False
C1orf170,0.0,0,False
RP11-54O7.17,3.0,3,False
HES4,213.0,145,False
RP11-54O7.11,4.0,4,False
ISG15,3228.0,1206,False
AGRN,8.0,8,False
RP11-54O7.18,0.0,0,False
RNF223,0.0,0,False
C1orf159,24.0,24,False
RP11-465B22.5,0.0,0,False
RP11-465B22.8,0.0,0,False
TTLL10-AS1,0.0,0,False
TTLL10,0.0,0,False
TNFRSF18,112.0,92,False
TNFRSF4,209.0,155,False
SDF4,378.0,340,False
B3GALT6,62.0,58,False
FAM132A,3.0,3,False
RP5-902P8.12,1.0,1,False
UBE2J2,324.0,299,False
RP5-902P8.10,1.0,1,False
SCNN1D,0.0,0,False
ACAP3,65.0,63,False
