簇,细胞类型/状态,基因,平均表达量(log归一化),阳性细胞比例(%)
0,簇0 细胞毒性 T(疑CD8),CD3D,2.262,87.2
0,簇0 细胞毒性 T(疑CD8),CD3E,1.643,72.6
0,簇0 细胞毒性 T(疑CD8),CD8A,1.013,47.8
0,簇0 细胞毒性 T(疑CD8),CD8B,0.907,39.4
0,簇0 细胞毒性 T(疑CD8),NKG7,3.17,91.6
0,簇0 细胞毒性 T(疑CD8),GNLY,0.779,27.4
0,簇0 细胞毒性 T(疑CD8),KLRD1,0.275,14.7
0,簇0 细胞毒性 T(疑CD8),KLRF1,0.032,1.6
0,簇0 细胞毒性 T(疑CD8),NCAM1,0.003,0.3
4,簇4 NK,CD3D,0.172,8.6
4,簇4 NK,CD3E,0.862,39.7
4,簇4 NK,CD8A,0.137,7.3
4,簇4 NK,CD8B,0.023,1.3
4,簇4 NK,NKG7,4.728,100.0
4,簇4 NK,GNLY,4.413,98.0
4,簇4 NK,KLRD1,1.214,56.3
4,簇4 NK,KLRF1,0.551,28.5
4,簇4 NK,NCAM1,0.108,6.0
1,簇1 初始/记忆 T,CD3D,2.223,91.2
1,簇1 初始/记忆 T,CD3E,1.768,80.1
1,簇1 初始/记忆 T,CD8A,0.109,6.2
1,簇1 初始/记忆 T,CD8B,0.182,9.0
1,簇1 初始/记忆 T,NKG7,0.235,13.7
1,簇1 初始/记忆 T,GNLY,0.184,11.1
1,簇1 初始/记忆 T,KLRD1,0.016,0.9
1,簇1 初始/记忆 T,KLRF1,0.006,0.4
1,簇1 初始/记忆 T,NCAM1,0.004,0.2
5,簇5 初始/记忆 T,CD3D,2.046,83.8
5,簇5 初始/记忆 T,CD3E,1.631,72.1
5,簇5 初始/记忆 T,CD8A,0.253,12.8
5,簇5 初始/记忆 T,CD8B,0.478,21.2
5,簇5 初始/记忆 T,NKG7,0.176,9.7
5,簇5 初始/记忆 T,GNLY,0.161,8.9
5,簇5 初始/记忆 T,KLRD1,0.016,0.9
5,簇5 初始/记忆 T,KLRF1,0.024,1.5
5,簇5 初始/记忆 T,NCAM1,0.003,0.2
