Description,Adipose - Subcutaneous,Adipose - Visceral (Omentum),Adrenal Gland,Artery - Aorta,Artery - Coronary,Artery - Tibial,Bladder,Brain - Amygdala,Brain - Anterior cingulate cortex (BA24),Brain - Caudate (basal ganglia),Brain - Cerebellar Hemisphere,Brain - Cerebellum,Brain - Cortex,Brain - Frontal Cortex (BA9),Brain - Hippocampus,Brain - Hypothalamus,Brain - Nucleus accumbens (basal ganglia),Brain - Putamen (basal ganglia),Brain - Spinal cord (cervical c-1),Brain - Substantia nigra,Breast - Mammary Tissue,Cells - Cultured fibroblasts,Cells - EBV-transformed lymphocytes,Cervix - Ectocervix,Cervix - Endocervix,Colon - Sigmoid,Colon - Transverse,Esophagus - Gastroesophageal Junction,Esophagus - Mucosa,Esophagus - Muscularis,Fallopian Tube,Heart - Atrial Appendage,Heart - Left Ventricle,Kidney - Cortex,Kidney - Medulla,Liver,Lung,Minor Salivary Gland,Muscle - Skeletal,Nerve - Tibial,Ovary,Pancreas,Pituitary,Prostate,Skin - Not Sun Exposed (Suprapubic),Skin - Sun Exposed (Lower leg),Small Intestine - Terminal Ileum,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina,Whole Blood
PDCD1,0.986171,1.8167,0.361231,0.706865,0.890761,0.225591,1.04666,0.0855043,0.0582252,0.46596,0.027193,0.0477472,0.0581153,0.0463366,0.0782752,0.18918,0.394368,0.391,0.413851,0.0973947,0.79109,0.0,23.6495,0.728537,1.22322,0.353819,0.950642,0.432206,0.988393,0.523527,1.23954,5.13584,0.803461,0.540887,0.896082,0.269117,3.24809,1.61608,0.0646587,0.963741,0.375241,0.170748,2.75088,1.25997,0.439338,0.356138,4.09523,11.889,1.24311,0.306668,2.20591,0.759518,1.18604,3.01925
CTLA4,0.632738,1.04565,0.11031,0.635474,0.772816,0.294227,0.580578,0.0752838,0.0940401,0.075746,0.12303,0.176384,0.17688,0.149754,0.0974282,0.198507,0.0559992,0.0495982,0.242597,0.116339,0.82192,0.0303354,0.0361027,0.570802,0.740125,0.354268,1.04436,0.198958,1.02769,0.180708,1.21956,0.125142,0.173239,0.31596,0.734245,0.138354,4.35463,0.524707,0.0444066,0.676274,0.190865,0.0538942,0.355901,0.763894,0.709992,0.388855,4.92644,5.79835,0.530741,2.52653,0.762393,0.309033,1.0079,1.7789
LAG3,1.44779,3.66382,0.585768,1.46853,1.83806,0.816323,3.20791,0.169871,0.181486,0.148352,1.98609,2.34535,0.593423,0.484097,0.189054,0.367259,0.142282,0.130644,0.670713,0.229714,1.98393,0.583982,20.1576,4.82443,8.5658,8.28422,4.86353,4.08506,1.52544,5.08511,8.8633,1.38774,0.274354,0.808336,2.0961,2.70706,5.71131,1.46776,0.190154,5.61578,39.9169,0.22516,1.47253,5.88606,1.23437,1.14033,10.36,28.075,2.12501,7.05835,1.72869,18.0775,6.11108,3.29353
HAVCR2,9.85377,8.20218,6.4541,6.61212,7.72024,3.05933,3.85939,3.24128,2.1735,3.12321,3.81732,3.01791,2.02825,2.35009,3.70215,4.37974,2.51899,2.84814,14.4395,6.87636,4.94777,0.163,9.99188,1.53937,3.21603,2.95055,3.15591,2.71976,1.40664,2.83233,3.87252,1.87078,0.857573,11.4687,6.32035,1.59196,25.8989,3.49762,0.536587,8.47202,1.705,0.913639,2.09606,3.3816,1.83862,2.08055,5.03754,24.7468,1.8103,2.02584,2.4746,2.34486,2.07809,18.0048
TIGIT,0.297661,0.480385,0.0681375,0.261079,0.249578,0.0640685,0.204102,0.0555289,0.0479716,0.140048,0.03462,0.0422421,0.0492013,0.0452649,0.0753747,0.176597,0.152415,0.127522,0.487069,0.141387,0.253816,0.0,2.51682,0.31029,0.559768,0.0702465,0.539349,0.0722753,0.31497,0.0748227,0.617203,0.089801,0.0247455,0.10042,0.166291,0.218226,1.43846,0.274279,0.0209447,0.239222,0.0937034,0.0307142,0.230329,0.337071,0.196288,0.140152,2.30123,6.92435,0.274373,0.391402,0.3524,0.274305,0.401702,2.10301
TOX,1.22551,0.907612,0.213893,0.893281,1.7176,12.9381,3.91035,6.61258,10.1005,4.63421,1.61319,2.32886,11.1392,15.9077,2.77196,7.11257,4.38209,3.41638,1.82866,3.01842,1.69696,16.0439,9.53523,2.88286,3.43351,22.4278,11.3104,12.5972,1.20439,11.6071,1.19601,0.277167,0.219697,2.191,4.70332,0.402337,4.29624,1.5297,0.0829322,14.8287,7.75431,0.931694,3.72432,2.48974,0.784607,0.926257,12.5369,7.25919,10.2401,10.2581,1.77715,1.20509,2.1569,1.42226
CXCL13,0.100781,0.370253,0.2448,0.210791,0.370038,0.172437,0.20338,0.0506831,0.0880467,0.0,2.2443,1.86622,0.1482,0.158132,0.0356479,0.039531,0.0978122,0.0,0.0778609,0.0,0.291768,0.0,0.514134,0.316023,0.501868,0.163749,0.686272,0.280481,0.933927,0.22227,1.01507,0.0390377,0.0,0.134396,0.035819,0.588299,0.597474,0.45209,0.023284,1.408,0.287834,0.0979512,3.14697,3.49293,0.392975,0.226422,37.9921,512.654,1.47667,1.30292,0.207128,0.338483,0.310819,0.0474995
GZMB,2.15682,3.03621,0.348034,1.00332,1.06892,0.401712,1.19681,0.280789,0.251102,0.286906,0.195822,0.166222,0.263831,0.308581,0.284615,0.595785,0.268034,0.367718,0.650139,0.506262,1.70338,0.0,0.462009,1.01427,0.825208,0.381506,1.02839,0.642528,1.25225,0.845992,1.27565,0.628897,0.355277,0.742426,1.25683,1.31742,14.0836,1.7083,0.278479,0.924853,0.256257,0.139088,0.747363,1.24983,0.332913,0.328848,1.98163,23.6435,1.33442,0.239926,2.11879,0.831019,1.50853,71.4456
PRF1,6.23155,7.45388,1.02335,3.01917,2.96179,1.06842,3.67763,0.502386,0.444265,0.609692,0.362106,0.418245,0.573094,0.551014,0.526953,0.729993,0.459339,0.680791,1.59711,0.94693,4.34508,0.0,3.06218,2.80788,3.48183,1.00104,2.57431,1.56853,2.01346,1.88539,4.6483,1.53627,0.915766,1.34135,0.834643,3.61036,28.7926,2.37652,0.827922,2.62993,0.873083,0.560997,1.45423,2.73574,0.849764,1.01178,8.38675,84.5754,3.99134,0.454004,5.21066,3.40867,3.30764,119.394
IFNG,0.0752153,0.337471,0.0,0.103153,0.0843372,0.0,0.0494304,0.022684,0.0,0.0301102,0.0,0.0,0.0,0.0,0.0,0.0362445,0.0,0.0340196,0.120755,0.0483864,0.0676394,0.0,0.855438,0.259631,0.0166127,0.0,0.0575967,0.0,0.0397462,0.0,0.105534,0.0950109,0.0,0.0743764,0.286671,0.252212,0.881931,0.0508395,0.0,0.185695,0.0,0.0,0.0815786,0.0422262,0.0470613,0.0,0.178181,0.916876,0.0499343,0.0514399,0.132735,0.0,0.0962186,1.07525
