变量,组别,n,均值,标准差,中位数,IQR,最小值,最大值
age,全部,80,57.66,11.45,57.0,15.25,35.0,84.0
age,试验组treatment,40,58.9,13.28,58.5,16.75,35.0,84.0
age,对照组control,40,56.42,9.29,56.5,14.0,38.0,74.0
baseline_CRP,全部,80,49.72,13.57,49.55,20.0,21.4,86.1
baseline_CRP,试验组treatment,40,46.74,13.63,47.65,18.4,21.4,78.4
baseline_CRP,对照组control,40,52.7,12.99,53.25,17.07,28.5,86.1
post_CRP,全部,80,31.81,15.09,28.3,25.48,1.0,65.5
post_CRP,试验组treatment,40,20.51,8.04,20.55,9.73,1.0,37.7
post_CRP,对照组control,40,43.1,11.61,45.1,15.45,16.1,65.5
LOS_days,全部,80,9.43,3.33,9.0,5.0,3.0,18.0
LOS_days,试验组treatment,40,7.5,2.77,7.5,3.5,3.0,13.0
LOS_days,对照组control,40,11.35,2.67,11.0,4.0,6.0,18.0
