term	gene_set_size	background_size	overlap_count	foreground_annotated	overlap_genes	fold_enrichment	pvalue	p_adjust	neglog10p	neglog10padj
Negative Regulation Of T Cell Differentiation (GO:0045581)	13	14350	2	15	CTLA4;LAG3	147.17948717948718	7.902312781954455e-05	0.007191104631578554	4.102245784476328	2.1432043921552344
Apoptotic Process (GO:0006915)	228	14350	4	15	GZMB;IFNG;PDCD1;PRF1	16.78362573099415	7.383321619914846e-05	0.010078234011183766	4.131748213155208	1.9966155617784334
Regulation Of Regulatory T Cell Differentiation (GO:0045589)	22	14350	2	15	CTLA4;LAG3	86.96969696969697	0.00023276129043817395	0.012708766457924297	3.6330892437254705	1.8958966010207332
T Cell Mediated Immunity (GO:0002456)	20	14350	2	15	CD8A;PRF1	95.66666666666667	0.00019168007217433905	0.01308216492589864	3.717423035763491	1.8833203800506972
Regulation Of Immune Response (GO:0050776)	77	14350	3	15	CXCL13;LAG3;PDCD1	37.27272727272727	6.45260949744377e-05	0.01761562392802149	4.190264616968964	1.7541019699282077
Negative Regulation Of Cytokine Production (GO:0001818)	178	14350	3	15	HAVCR2;IFNG;TIGIT	16.123595505617978	0.0007650785176023509	0.034811072550906964	3.1162939922822024	1.45828259562509
Regulation Of Interleukin-12 Production (GO:0032655)	50	14350	2	15	IFNG;TIGIT	38.266666666666666	0.0012136495079491409	0.03681403507445727	2.9159067158480774	1.433986578246646
Negative Regulation Of T Cell Activation (GO:0050868)	49	14350	2	15	HAVCR2;TIGIT	39.047619047619044	0.0011658069257621554	0.03978316134163355	2.9333733689759556	1.4003007089271433
T Cell Differentiation (GO:0030217)	46	14350	2	15	CD8A;TCF7	41.594202898550726	0.0010278885748960477	0.04008765442094586	2.988053961148674	1.3969893541221745
Negative Regulation Of Immune Response (GO:0050777)	66	14350	2	15	HAVCR2;PDCD1	28.98989898989899	0.0021047065063631454	0.05223498874883079	2.6768084563858654	1.2820384945033345
Positive Regulation Of Programmed Cell Death (GO:0043068)	245	14350	3	15	CTLA4;IFNG;PRF1	11.714285714285714	0.0019215644098606681	0.05245870838919624	2.716345053625734	1.2801824065849783
Positive Regulation Of Tumor Necrosis Factor Superfamily Cytokine Production (GO:1903557)	82	14350	2	15	HAVCR2;IFNG	23.333333333333332	0.003227318550000104	0.06293271172500202	2.4911581657769326	1.2011235544144148
Positive Regulation Of Protein Localization To Membrane (GO:1905477)	79	14350	2	15	GZMB;IFNG	24.21940928270042	0.002999510565063367	0.0629897218663307	2.5229496040246957	1.2007303092907764
Positive Regulation Of Tumor Necrosis Factor Production (GO:0032760)	78	14350	2	15	HAVCR2;IFNG	24.529914529914528	0.002925337348910958	0.06655142468772429	2.5338240440014554	1.1768426430083243
Negative Regulation Of Gene Expression (GO:0010629)	336	14350	3	15	GZMB;HAVCR2;IFNG	8.541666666666668	0.004696092026221967	0.07122406239769984	2.328263401094175	1.147373259156725
Regulation Of Peptidyl-Serine Phosphorylation Of STAT Protein (GO:0033139)	18	14350	1	15	IFNG	53.148148148148145	0.018660042231089496	0.07174917646602018	1.7290873777005382	1.1441830793788574
Regulation Of Protein Deacetylation (GO:0090311)	18	14350	1	15	IFNG	53.148148148148145	0.018660042231089496	0.07277416470124905	1.7290873777005382	1.138022770674039
Positive Regulation Of Transcription Regulatory Region DNA Binding (GO:2000679)	21	14350	1	15	IFNG	45.55555555555556	0.02173827072730733	0.07326602356240619	1.662775006866964	1.1350973787048575
T Cell Receptor Signaling Pathway (GO:0050852)	95	14350	2	15	CD8A;CTLA4	20.14035087719298	0.004305169342512969	0.07345695190662753	2.3660097610343707	1.1339670966495394
Positive Regulation Of Protein-Containing Complex Assembly (GO:0031334)	98	14350	2	15	CXCL13;IFNG	19.523809523809522	0.004574579386203538	0.07346236308432741	2.3396488313567567	1.1339351056942744
Negative Regulation Of Leukocyte Cell-Cell Adhesion (GO:1903038)	19	14350	1	15	TIGIT	50.35087719298246	0.019687121450077345	0.07362444049138514	1.7058177795316252	1.132977992611325
Regulation Of Epithelial Cell Differentiation (GO:0030856)	18	14350	1	15	IFNG	53.148148148148145	0.018660042231089496	0.07382886274039757	1.7290873777005382	1.1317738213970374
Natural Killer Cell Mediated Immunity (GO:0002228)	22	14350	1	15	GZMB	43.484848484848484	0.022762342605253484	0.07397761346707382	1.6427830442022393	1.1308996832233649
Negative Regulation Of Interleukin-2 Production (GO:0032703)	21	14350	1	15	HAVCR2	45.55555555555556	0.02173827072730733	0.07418184885693627	1.662775006866964	1.1297023468181515
Microglial Cell Activation (GO:0001774)	20	14350	1	15	IFNG	47.833333333333336	0.02071319731207223	0.07440398508152261	1.6837528577548626	1.128403802994898
Positive Regulation Of Cytokine Production (GO:0001819)	320	14350	3	15	HAVCR2;IFNG;TIGIT	8.96875	0.00409591767470895	0.0745457016797029	2.3876487809821603	1.1275773929970854
Regulation Of Interleukin-4 Production (GO:0032673)	23	14350	1	15	HAVCR2	41.594202898550726	0.023785413854619852	0.07463698830242782	1.6236892876658136	1.127045893243676
Gastrulation (GO:0007369)	19	14350	1	15	EOMES	50.35087719298246	0.019687121450077345	0.0746470021648766	1.7058177795316252	1.1269876289221374
Positive Regulation Of Phosphatase Activity (GO:0010922)	22	14350	1	15	IFNG	43.484848484848484	0.022762342605253484	0.0748689100148699	1.6427830442022393	1.125698489537557
Positive Regulation Of Osteoclast Differentiation (GO:0045672)	18	14350	1	15	IFNG	53.148148148148145	0.018660042231089496	0.07491458131010931	1.7290873777005382	1.1254336433660184
Macrophage Differentiation (GO:0030225)	21	14350	1	15	IFNG	45.55555555555556	0.02173827072730733	0.07512085960196077	1.662775006866964	1.1242394511166494
Regulation Of Cellular Respiration (GO:0043457)	17	14350	1	15	IFNG	56.27450980392157	0.017631958744112712	0.07521132401785578	1.753699439004872	1.123716765948003
Mesoderm Formation (GO:0001707)	20	14350	1	15	EOMES	47.833333333333336	0.02071319731207223	0.07539603821594291	1.6837528577548626	1.1226514741058067
Adaptive Immune Response Based On Somatic Recombination Of Immune Receptors Built From Immunoglobulin Superfamily Domains (GO:0002460)	23	14350	1	15	CD8A	41.594202898550726	0.023785413854619852	0.07550486025943279	1.6236892876658136	1.1220250918686252
Regulation Of Neural Precursor Cell Proliferation (GO:2000177)	22	14350	1	15	TOX	43.484848484848484	0.022762342605253484	0.07578194550285611	1.6427830442022393	1.1204342495452
Regulation Of Exosomal Secretion (GO:1903541)	18	14350	1	15	IFNG	53.148148148148145	0.018660042231089496	0.07603270938936467	1.7290873777005382	1.1189995333606086
Regulation Of Membrane Protein Ectodomain Proteolysis (GO:0051043)	21	14350	1	15	IFNG	45.55555555555556	0.02173827072730733	0.07608394754557565	1.662775006866964	1.1187069625166883
Natural Killer Cell Mediated Cytotoxicity (GO:0042267)	24	14350	1	15	GZMB	39.86111111111111	0.024807485383354446	0.07609487089500858	1.6054172558600392	1.118644615464196
Inflammatory Response (GO:0006954)	236	14350	2	15	CXCL13;IFNG	8.10734463276836	0.02456243404270421	0.07619936924611646	1.6097285984862209	1.1180486235956333
Negative Regulation Of Lymphocyte Activation (GO:0051250)	23	14350	1	15	TIGIT	41.594202898550726	0.023785413854619852	0.07639315273307318	1.6236892876658136	1.1169455663393502
Positive Regulation Of Peptidyl-Serine Phosphorylation Of STAT Protein (GO:0033141)	17	14350	1	15	IFNG	56.27450980392157	0.017631958744112712	0.07640515455782175	1.753699439004872	1.1168773414176976
Negative Regulation Of B Cell Activation (GO:0050869)	20	14350	1	15	CTLA4	47.833333333333336	0.02071319731207223	0.07641490359723943	1.6837528577548626	1.1168219304450828
Positive Regulation Of Amyloid Precursor Protein Catabolic Process (GO:1902993)	21	14350	1	15	IFNG	45.55555555555556	0.02173827072730733	0.07707205076045326	1.662775006866964	1.1131030849986898
Positive Regulation Of Interleukin-4 Production (GO:0032753)	18	14350	1	15	HAVCR2	53.148148148148145	0.018660042231089496	0.07718472013768837	1.7290873777005382	1.1124686662016507
Positive Regulation Of Amyloid-Beta Formation (GO:1902004)	17	14350	1	15	IFNG	56.27450980392157	0.017631958744112712	0.07763749576036726	1.753699439004872	1.1099284814623698
Negative Regulation Of Macromolecule Metabolic Process (GO:0010605)	186	14350	2	15	HAVCR2;IFNG	10.28673835125448	0.0157045829036448	0.07795183877627328	1.803973593493489	1.108173635946977
Positive Regulation Of T Cell Migration (GO:2000406)	25	14350	1	15	CXCL13	38.266666666666666	0.02582855809864481	0.07834662623255592	1.5878998380110045	1.1059797004095735
Positive Regulation Of Glycolytic Process (GO:0045821)	18	14350	1	15	IFNG	53.148148148148145	0.018660042231089496	0.07837217737057589	1.7290873777005382	1.1058380873026377
