term	gene_set_size	background_size	overlap_count	foreground_annotated	overlap_genes	fold_enrichment	pvalue	p_adjust	neglog10p	neglog10padj
Type I diabetes mellitus	43	8067	3	11	GZMB;IFNG;PRF1	51.16490486257928	2.2597906077556108e-05	0.00036721597376028676	4.645931800723978	3.435078435409084
Cell adhesion molecules	148	8067	4	11	CD8A;CTLA4;PDCD1;TIGIT	19.820638820638823	3.2479345796094814e-05	0.00042223149534923257	4.488392726968036	3.3744493746611997
Graft-versus-host disease	42	8067	3	11	GZMB;IFNG;PRF1	52.38311688311688	2.1036990606925654e-05	0.00045580146315005583	4.677016386965244	3.3412242850420504
Autoimmune thyroid disease	53	8067	3	11	CTLA4;GZMB;PRF1	41.51114922813036	4.257712512889312e-05	0.0004612521888963422	4.370823666120069	3.3360615598608567
Allograft rejection	38	8067	3	11	GZMB;IFNG;PRF1	57.89712918660287	1.5505067075130628e-05	0.0005039146799417454	4.809526350658768	3.297642989679893
T cell receptor signaling pathway	104	8067	4	11	CD8A;CTLA4;IFNG;PDCD1	28.206293706293707	8.025943098166993e-06	0.0005216863013808546	5.095503923625316	3.28259056698246
Natural killer cell mediated cytotoxicity	131	8067	3	11	GZMB;IFNG;PRF1	16.794587092297014	0.000627780818855249	0.005829393317941598	3.2021919578181706	2.2343766411895722
Antigen processing and presentation	78	8067	2	11	CD8A;IFNG	18.804195804195803	0.004797492044941781	0.03897962286515197	2.3189857367260505	1.4091623670751385
Rheumatoid arthritis	93	8067	2	11	CTLA4;IFNG	15.771260997067449	0.006758528184091047	0.0439304331965918	2.1701478707924724	1.357234514149617
PD-L1 expression and PD-1 checkpoint pathway in cancer	89	8067	2	11	IFNG;PDCD1	16.480081716036775	0.0062050701768038	0.04481439572136078	2.2072533024446543	1.3485824552411239
Apoptosis	142	8067	2	11	GZMB;PRF1	10.329065300896286	0.015249491755309035	0.09011063309955337	1.8167446305167352	1.0452239590321046
Primary immunodeficiency	38	8067	1	11	CD8A	19.29904306220096	0.05064337667516893	0.23512996313471288	1.2954773452003565	0.6286920242357389
Chagas disease	102	8067	1	11	IFNG	7.189839572192514	0.13069334648627767	0.23597409782244577	0.8837465215078035	0.6271356656322352
Toxoplasmosis	112	8067	1	11	IFNG	6.5478896103896105	0.14263120494121462	0.23771867490202434	0.8457854488796828	0.6239366992633264
HIF-1 signaling pathway	109	8067	1	11	IFNG	6.728106755629692	0.13906559254507864	0.23787535566921345	0.8567803093770586	0.6236505493510133
Th17 cell differentiation	107	8067	1	11	IFNG	6.853865760407817	0.13668103406966645	0.24011533012238698	0.8642917441763827	0.6195801116005221
Amoebiasis	102	8067	1	11	IFNG	7.189839572192514	0.13069334648627767	0.2427162149030871	0.8837465215078035	0.6149012092152236
Hepatocellular carcinoma	168	8067	1	11	TCF7	4.365259740259741	0.20677280551441923	0.24436786106249545	0.6845065796575774	0.6119559125089657
Influenza A	172	8067	1	11	IFNG	4.263742071881607	0.21118295369934745	0.24512307125817115	0.6753411401774542	0.610615810540799
Wnt signaling pathway	166	8067	1	11	TCF7	4.4178532311062435	0.20455933647994654	0.2462288309480838	0.6891806936811988	0.6086610968613119
African trypanosomiasis	37	8067	1	11	IFNG	19.820638820638823	0.04934110421518972	0.2467055210759486	1.3067911355678543	0.6078211312318355
Hippo signaling pathway	163	8067	1	11	TCF7	4.499163413273843	0.2012286033043919	0.2467897965053863	0.6963102871630822	0.6076728001210157
Melanogenesis	101	8067	1	11	TCF7	7.261026102610261	0.1294912882601745	0.2475568746150395	0.887759448476941	0.6063250088763406
Proteasome	46	8067	1	11	IFNG	15.942687747035572	0.06100331827278696	0.24782598048319704	1.2146465409176654	0.6058531669307345
Acute myeloid leukemia	67	8067	1	11	TCF7	10.94572591587517	0.08771105802272271	0.24787907702073805	1.056945650242775	0.6057601296175122
JAK-STAT signaling pathway	162	8067	1	11	IFNG	4.526936026936028	0.2001155446061843	0.2501444307577304	0.6987191748596294	0.601809161851573
Arrhythmogenic right ventricular cardiomyopathy	77	8067	1	11	TCF7	9.524203069657615	0.10018467369458921	0.250461684236473	0.9991987119914385	0.6012587033194009
Necroptosis	159	8067	1	11	IFNG	4.612349914236707	0.19676790311800804	0.25078262162099063	0.7060457424675975	0.6007025619226783
Tuberculosis	180	8067	1	11	IFNG	4.074242424242424	0.21993644686115374	0.2508047201048244	0.6577027953819022	0.6006642944115381
Adherens junction	71	8067	1	11	TCF7	10.329065300896286	0.09271924510460539	0.25111462215830627	1.0328301129400483	0.6001279980087988
