term,gene_set_size,background_size,overlap_count,foreground_annotated,overlap_genes,fold_enrichment,pvalue,p_adjust,neglog10p,neglog10padj
Type I diabetes mellitus,43,8067,3,11,GZMB;IFNG;PRF1,51.16490486257928,2.2597906077556108e-05,0.00036721597376028676,4.645931800723978,3.435078435409084
Cell adhesion molecules,148,8067,4,11,CD8A;CTLA4;PDCD1;TIGIT,19.820638820638823,3.2479345796094814e-05,0.00042223149534923257,4.488392726968036,3.3744493746611997
Graft-versus-host disease,42,8067,3,11,GZMB;IFNG;PRF1,52.38311688311688,2.1036990606925654e-05,0.00045580146315005583,4.677016386965244,3.3412242850420504
Autoimmune thyroid disease,53,8067,3,11,CTLA4;GZMB;PRF1,41.51114922813036,4.257712512889312e-05,0.0004612521888963422,4.370823666120069,3.3360615598608567
Allograft rejection,38,8067,3,11,GZMB;IFNG;PRF1,57.89712918660287,1.5505067075130628e-05,0.0005039146799417454,4.809526350658768,3.297642989679893
T cell receptor signaling pathway,104,8067,4,11,CD8A;CTLA4;IFNG;PDCD1,28.206293706293707,8.025943098166993e-06,0.0005216863013808546,5.095503923625316,3.28259056698246
Natural killer cell mediated cytotoxicity,131,8067,3,11,GZMB;IFNG;PRF1,16.794587092297014,0.000627780818855249,0.005829393317941598,3.2021919578181706,2.2343766411895722
Antigen processing and presentation,78,8067,2,11,CD8A;IFNG,18.804195804195803,0.004797492044941781,0.03897962286515197,2.3189857367260505,1.4091623670751385
Rheumatoid arthritis,93,8067,2,11,CTLA4;IFNG,15.771260997067449,0.006758528184091047,0.0439304331965918,2.1701478707924724,1.357234514149617
PD-L1 expression and PD-1 checkpoint pathway in cancer,89,8067,2,11,IFNG;PDCD1,16.480081716036775,0.0062050701768038,0.04481439572136078,2.2072533024446543,1.3485824552411239
