database,term,gene_set_size,background_size,overlap_count,foreground_annotated,overlap_genes,fold_enrichment,pvalue,p_adjust,neglog10p,neglog10padj
GO_BP,Negative Regulation Of T Cell Differentiation,13,14350,2,15,CTLA4;LAG3,147.17948717948718,7.902312781954455e-05,0.007191104631578554,4.102245784476328,2.1432043921552344
GO_BP,Apoptotic Process,228,14350,4,15,GZMB;IFNG;PDCD1;PRF1,16.78362573099415,7.383321619914846e-05,0.010078234011183766,4.131748213155208,1.9966155617784334
GO_BP,Regulation Of Regulatory T Cell Differentiation,22,14350,2,15,CTLA4;LAG3,86.96969696969697,0.00023276129043817395,0.012708766457924297,3.6330892437254705,1.8958966010207332
GO_BP,T Cell Mediated Immunity,20,14350,2,15,CD8A;PRF1,95.66666666666667,0.00019168007217433905,0.01308216492589864,3.717423035763491,1.8833203800506972
GO_BP,Regulation Of Immune Response,77,14350,3,15,CXCL13;LAG3;PDCD1,37.27272727272727,6.45260949744377e-05,0.01761562392802149,4.190264616968964,1.7541019699282077
GO_BP,Negative Regulation Of Cytokine Production,178,14350,3,15,HAVCR2;IFNG;TIGIT,16.123595505617978,0.0007650785176023509,0.034811072550906964,3.1162939922822024,1.45828259562509
GO_BP,Regulation Of Interleukin-12 Production,50,14350,2,15,IFNG;TIGIT,38.266666666666666,0.0012136495079491409,0.03681403507445727,2.9159067158480774,1.433986578246646
GO_BP,Negative Regulation Of T Cell Activation,49,14350,2,15,HAVCR2;TIGIT,39.047619047619044,0.0011658069257621554,0.03978316134163355,2.9333733689759556,1.4003007089271433
GO_BP,T Cell Differentiation,46,14350,2,15,CD8A;TCF7,41.594202898550726,0.0010278885748960477,0.04008765442094586,2.988053961148674,1.3969893541221745
KEGG,Type I diabetes mellitus,43,8067,3,11,GZMB;IFNG;PRF1,51.16490486257928,2.2597906077556108e-05,0.00036721597376028676,4.645931800723978,3.435078435409084
KEGG,Cell adhesion molecules,148,8067,4,11,CD8A;CTLA4;PDCD1;TIGIT,19.820638820638823,3.2479345796094814e-05,0.00042223149534923257,4.488392726968036,3.3744493746611997
KEGG,Graft-versus-host disease,42,8067,3,11,GZMB;IFNG;PRF1,52.38311688311688,2.1036990606925654e-05,0.00045580146315005583,4.677016386965244,3.3412242850420504
KEGG,Autoimmune thyroid disease,53,8067,3,11,CTLA4;GZMB;PRF1,41.51114922813036,4.257712512889312e-05,0.0004612521888963422,4.370823666120069,3.3360615598608567
KEGG,Allograft rejection,38,8067,3,11,GZMB;IFNG;PRF1,57.89712918660287,1.5505067075130628e-05,0.0005039146799417454,4.809526350658768,3.297642989679893
KEGG,T cell receptor signaling pathway,104,8067,4,11,CD8A;CTLA4;IFNG;PDCD1,28.206293706293707,8.025943098166993e-06,0.0005216863013808546,5.095503923625316,3.28259056698246
KEGG,Natural killer cell mediated cytotoxicity,131,8067,3,11,GZMB;IFNG;PRF1,16.794587092297014,0.000627780818855249,0.005829393317941598,3.2021919578181706,2.2343766411895722
KEGG,Antigen processing and presentation,78,8067,2,11,CD8A;IFNG,18.804195804195803,0.004797492044941781,0.03897962286515197,2.3189857367260505,1.4091623670751385
KEGG,Rheumatoid arthritis,93,8067,2,11,CTLA4;IFNG,15.771260997067449,0.006758528184091047,0.0439304331965918,2.1701478707924724,1.357234514149617
KEGG,PD-L1 expression and PD-1 checkpoint pathway in cancer,89,8067,2,11,IFNG;PDCD1,16.480081716036775,0.0062050701768038,0.04481439572136078,2.2072533024446543,1.3485824552411239
